iter	Passed	Remaining
416	2665	3726
417	2671	3718
418	2676	3711
419	2681	3703
420	2686	3695
421	2692	3687
422	2698	3680
423	2702	3671
424	2708	3663
425	2713	3655
426	2718	3647
427	2723	3639
428	2729	3633
429	2735	3625
430	2740	3617
431	2745	3609
432	2751	3602
433	2755	3594
434	2761	3586
435	2766	3578
436	2771	3571
437	2781	3568
438	2786	3561
439	2791	3553
440	2797	3545
441	2803	3538
442	2807	3530
443	2813	3522
444	2822	3520
445	2827	3512
446	2832	3504
447	2838	3497
448	2843	3489
449	2851	3484
450	2856	3476
451	2861	3469
452	2866	3461
453	2871	3453
454	2876	3445
455	2882	3438
456	2887	3430
457	2893	3423
458	2898	3416
459	2903	3408
460	2915	3408
461	2920	3400
462	2925	3392
463	2930	3384
464	2934	3376
465	2939	3368
466	2945	3362
467	2954	3358
468	2959	3351
469	2965	3344
470	2970	3336
471	2976	3329
472	2982	3323
473	2988	3316
474	2993	3308
475	2999	3301
476	3005	3295
477	3015	3292
478	3022	3287
479	3027	3280
480	3034	3273
481	3039	3266
482	3044	3258
483	3049	3251
484	3054	3243
485	3061	3237
486	3068	3232
487	3073	3225
488	3080	3219
489	3085	3211
490	3090	3203
491	3095	3195
492	3100	3188
493	3105	3180
494	3109	3172
495	3117	3167
496	3122	3160
497	3128	3153
498	3134	3146
499	3139	3139
500	3143	3131
501	3148	3123
502	3157	3119
503	3163	3113
504	3168	3105
505	3173	3098
506	3178	3091
507	3184	3084
508	3190	3077
509	3196	3070
510	3202	3064
511	3207	3057
512	3217	3054
513	3222	3046
514	3227	3039
515	3232	3032
516	3238	3025
517	3243	3018
518	3248	3011
519	3253	3003
520	3259	2996
521	3264	2989
522	3270	2982
523	3276	2976
524	3287	2974
525	3291	2966
526	3297	2959
527	3302	2952
528	3308	2945
529	3314	2939
530	3319	2932
531	3329	2929
532	3337	2924
533	3341	2916
534	3346	2908
535	3352	2901
536	3357	2895
537	3368	2892
538	3373	2885
539	3378	2878
540	3404	2888
541	3409	2881
542	3415	2874
543	3421	2867
544	3427	2861
545	3434	2855
546	3439	2848
547	3444	2840
548	3450	2834
549	3456	2827
550	3461	2820
551	3465	2812
552	3469	2804
553	3476	2798
554	3483	2792
555	3493	2789
556	3499	2783
557	3513	2783
558	3519	2776
559	3524	2769
560	3530	2762
561	3536	2755
562	3541	2748
563	3546	2741
564	3555	2737
565	3559	2729
566	3564	2721
567	3575	2719
568	3580	2712
569	3586	2705
570	3596	2701
571	3601	2694
572	3607	2687
573	3612	2681
574	3621	2676
575	3626	2669
576	3631	2662
577	3636	2655
578	3641	2647
579	3646	2640
580	3652	2633
581	3657	2627
582	3662	2619
583	3668	2612
584	3673	2605
585	3678	2598
586	3683	2591
587	3689	2585
588	3694	2578
589	3700	2571
590	3705	2564
591	3710	2557
592	3715	2550
593	3720	2543
594	3726	2536
595	3731	2529
596	3737	2523
597	3742	2516
598	3748	2509
599	3753	2502
600	3758	2495
601	3764	2488
602	3769	2481
603	3775	2475
604	3781	2468
605	3789	2463
606	3799	2460
607	3806	2454
608	3811	2447
609	3816	2440
610	3821	2433
611	3826	2425
612	3832	2419
613	3838	2412
614	3847	2408
615	3852	2401
616	3858	2395
617	3863	2388
618	3869	2381
619	3874	2374
620	3879	2367
621	3884	2360
622	3889	2353
623	3894	2346
624	3899	2339
625	3905	2333
626	3910	2326
627	3915	2319
628	3920	2312
629	3927	2306
630	3932	2299
631	3937	2292
632	3942	2285
633	3948	2279
634	3954	2272
635	3961	2267
636	3967	2260
637	3972	2253
638	3977	2246
639	3982	2240
640	3988	2233
641	3993	2226
642	3998	2219
643	4004	2213
644	4009	2206
645	4013	2199
646	4018	2192
647	4023	2185
648	4029	2179
649	4034	2172
650	4040	2166
